Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Аксессуары для монтажа гипсокартона», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1;0,00000047;
август 2023;1;0,00000047;
сентябрь 2023;1;0,00000041;
октябрь 2023;0;0;
ноябрь 2023;0;0;
декабрь 2023;1;0,00000037;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;1;0,00000039;
апрель 2024;1;0,00000042;
май 2024;0;0;
июнь 2024;1;0,00000051;
июль 2024;0;0;
август 2024;0;0;
сентябрь 2024;0;0;
октябрь 2024;1;0,00000040;
ноябрь 2024;0;0;
декабрь 2024;2;0,00000074;
январь 2025;0;0;
февраль 2025;2;0,00000077;
март 2025;0;0;
апрель 2025;0;0;
май 2025;0;0;
июнь 2025;0;0;
